Country,humidityNormalized,tempCNormalized,GDPNormalized,PopulationDensityNormalized,MedianAgeNormalized,LandAreaNormalized,GHSINormalized,SARSDeathsNormalized,PerCapitaCOVIDDeathsNormalized
Yemen,0.5,-0.4,-0.2292870613,-0.1642947743,-1.143617021,-0.08782643291,-1.684255869,-0.09237583959,-0.2780959703
Albania,0.80625,-0.605,-0.2349547746,-0.1422550669,0.5372340426,-0.3529071844,0.7854117309,-0.09237583959,-0.2004398236
Mali,-2.3125,0.7,-0.2342166068,-0.1822863723,-1.590425532,0.2892371781,-0.9304329098,-0.09237583959,-0.2721537631
Kuwait,-0.45,-0.01,-0.1721093904,-0.08153342389,0.6436170213,-0.3579803685,0.297221624,-0.09237583959,-0.25595639
Chad,-2.1875,0.8,-0.2370277116,-0.1836357421,-1.484042553,0.2994047286,-0.9447914423,-0.09237583959,-0.2780959703
Cyprus,0.88125,-0.46,-0.2302527466,-0.1305605282,0.6436170213,-0.3625239926,0.0746643693,-0.09237583959,-0.1926665485
Iraq,-0.95,0.03,-0.1286282718,-0.1476525463,-1.058510638,-0.1374186606,-1.160169431,-0.09237583959,-0.2603593139
El Salvador,0.3125,0.3,-0.2297471522,-0.04869875768,-0.3138297872,-0.3564446447,0.1608155646,-0.09237583959,-0.2688197722
Germany,1.075,-1.15,1.799708778,-0.08153342389,1.60106383,-0.1828337196,1.725895613,-0.09237583959,0.2382357247
Switzerland,1.35,-1.05,0.1186073908,-0.0909790128,1.281914894,-0.3464910364,1.797688276,-0.09237583959,1.189778693
Ecuador,1.015625,-0.073,-0.1877828169,-0.1575479251,-0.3138297872,-0.2358956238,0.5843922751,-0.09237583959,-0.02476270275
Uganda,1.25,0.3,-0.2284831662,-0.08648111332,-1.484042553,-0.2616057581,0.1679948309,-0.09237583959,-0.2780959703
Vietnam,1.05,0.42,-0.1139660342,-0.04824896773,0.1117021277,-0.203216481,0.5125996123,0.01102223472,-0.2780959703
Madagascar,1.5625,0.7,-0.2364209983,-0.1678930939,-1.164893617,-0.05932181094,-0.1335343528,-0.09237583959,-0.2780959703
Ethiopia,-0.0375,0.26,-0.1953667329,-0.1377571674,-1.271276596,0.1621427966,-0.09763802139,-0.09237583959,-0.2778716732
Peru,1.10625,0.59,-0.1316618382,-0.1777884728,0.005319148936,0.310419575,0.5197788786,-0.09237583959,-0.1519234907
Tanzania,1.875,0.59,-0.213062537,-0.1593470849,-1.377659574,0.1016670534,-0.3991672051,-0.09237583959,-0.2766570409
Senegal,0.40625,0.4,-0.2310111382,-0.1503512859,-1.271276596,-0.2654609543,-0.2914782109,-0.09237583959,-0.275529269
Austria,0.521875,-1.053,-0.01082477615,-0.1404559071,1.281914894,-0.3237766226,1.187450643,-0.09237583959,0.190494014
Maldives,1.13125,0.83,-0.2399601592,0.621038475,-0.1010638298,-0.3672582583,-0.5858281284,-0.09237583959,-0.2780959703
Iceland,1.10625,-1.93,-0.230404425,-0.1881336416,0.6436170213,-0.314328744,0.3115801565,-0.09237583959,-0.02621294946
Taiwan*,0.9125,0.09,0.06299200655,0.1132256236,1.175531915,-0.3486654094,0.4479862158,1.644711809,-0.2759306061
